status_code:404 163.172.64.133 [27/Jun/2017:07:17:24 +0000] GET //a2billing/customer/templates/default/footer.tpl HTTP/1.1
status_code:301 122.210.140.66 [27/Jun/2017:14:33:49 +0000] HEAD http://128.199.100.115:80/mysql/pMA/ HTTP/1.1
status_code:301 122.210.140.66 [27/Jun/2017:14:33:49 +0000] HEAD http://128.199.100.115:80/sql/phpmanager/ HTTP/1.1
status_code:301 122.210.140.66 [27/Jun/2017:14:33:49 +0000] HEAD http://128.199.100.115:80/sql/php-myadmin/ HTTP/1.1
status_code:301 122.210.140.66 [27/Jun/2017:14:33:49 +0000] HEAD http://128.199.100.115:80/sql/phpmy-admin/ HTTP/1.1
status_code:301 122.210.140.66 [27/Jun/2017:14:33:49 +0000] HEAD http://128.199.100.115:80/sql/sql/ HTTP/1.1
status_code:301 122.210.140.66 [27/Jun/2017:14:33:49 +0000] HEAD http://128.199.100.115:80/sql/myadmin/ HTTP/1.1
status_code:301 122.210.140.66 [27/Jun/2017:14:33:49 +0000] HEAD http://128.199.100.115:80/sql/webadmin/ HTTP/1.1
status_code:301 122.210.140.66 [27/Jun/2017:14:33:49 +0000] HEAD http://128.199.100.115:80/sql/sqlweb/ HTTP/1.1
status_code:301 122.210.140.66 [27/Jun/2017:14:33:49 +0000] HEAD http://128.199.100.115:80/sql/websql/ HTTP/1.1
status_code:301 122.210.140.66 [27/Jun/2017:14:33:49 +0000] HEAD http://128.199.100.115:80/sql/webdb/ HTTP/1.1
status_code:301 122.210.140.66 [27/Jun/2017:14:33:50 +0000] HEAD http://128.199.100.115:80/sql/sqladmin/ HTTP/1.1
status_code:301 122.210.140.66 [27/Jun/2017:14:33:50 +0000] HEAD http://128.199.100.115:80/sql/sql-admin/ HTTP/1.1
status_code:301 122.210.140.66 [27/Jun/2017:14:33:50 +0000] HEAD http://128.199.100.115:80/sql/phpmyadmin2/ HTTP/1.1
status_code:301 122.210.140.66 [27/Jun/2017:14:33:50 +0000] HEAD http://128.199.100.115:80/sql/phpMyAdmin2/ HTTP/1.1
